Par0 : false, true
Par1 : PAR1_0, PAR1_1
Par2 : false, true
Par3 : false, true
Par4 : PAR4_0, PAR4_1
Par5 : false, true
Par6 : false, true
Par7 : PAR7_0, PAR7_1
Par8 : PAR8_0, PAR8_1
Par9 : PAR9_0, PAR9_1
Par10 : PAR10_0, PAR10_1
Par11 : false, true
Par12 : false, true
Par13 : PAR13_0, PAR13_1
Par14 : PAR14_0, PAR14_1
Par15 : false, true
Par16 : PAR16_0, PAR16_1
Par17 : PAR17_0, PAR17_1
Par18 : false, true
Par19 : false, true
Par20 : false, true
Par21 : PAR21_0, PAR21_1
Par22 : false, true
Par23 : false, true
Par24 : false, true
Par25 : false, true
Par26 : false, true
Par27 : false, true
Par28 : PAR28_0, PAR28_1
Par29 : false, true


